transaction_id,timestamp,transaction_type,merchant_category,amount_inr,transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN400000000001,20-06-2024 05:41:00,Recharge,Entertainment,14815,SUCCESS,18-25,18-25,Gujarat,Axis,SBI,Android,5G,0,5,Thursday,0
TXN400000000002,01-01-2024 21:20:00,P2M,Fuel,2714,SUCCESS,46-55,56+,Maharashtra,PNB,Kotak,Android,4G,1,21,Monday,0
TXN400000000003,19-02-2024 04:06:00,P2P,Healthcare,14948,FAILED,26-35,46-55,Maharashtra,SBI,PNB,Android,3G,0,4,Monday,0
TXN400000000004,12-01-2024 12:48:00,Recharge,Healthcare,18897,FAILED,26-35,18-25,Rajasthan,Yes Bank,Kotak,Android,5G,0,12,Friday,0
TXN400000000005,27-09-2024 02:26:00,Bill Payment,Entertainment,4832,FAILED,46-55,36-45,Rajasthan,Yes Bank,ICICI,iOS,5G,1,2,Friday,0
TXN400000000006,10-06-2024 09:03:00,Recharge,Fuel,10024,FAILED,46-55,46-55,Maharashtra,HDFC,ICICI,iOS,WiFi,0,9,Monday,0
TXN400000000007,09-11-2024 02:47:00,P2P,Food,19434,SUCCESS,36-45,56+,Delhi,ICICI,PNB,Android,WiFi,1,2,Saturday,1
TXN400000000008,02-05-2024 16:51:00,Bill Payment,Food,6889,FAILED,26-35,26-35,Karnataka,Yes Bank,SBI,Android,3G,0,16,Thursday,0
TXN400000000009,18-04-2024 11:38:00,P2M,Fuel,3295,SUCCESS,26-35,18-25,Gujarat,Kotak,ICICI,Android,3G,1,11,Thursday,0
TXN400000000010,29-09-2024 19:33:00,Recharge,Utilities,1406,SUCCESS,36-45,36-45,Karnataka,HDFC,Kotak,iOS,3G,1,19,Sunday,1
TXN400000000011,12-05-2024 22:23:00,P2P,Shopping,19693,FAILED,26-35,36-45,Rajasthan,Yes Bank,Axis,Android,4G,1,22,Sunday,1
TXN400000000012,05-05-2024 00:51:00,Recharge,Healthcare,17989,FAILED,18-25,18-25,Tamil Nadu,Kotak,Yes Bank,iOS,3G,0,0,Sunday,1
TXN400000000013,19-04-2024 09:24:00,Bill Payment,Grocery,15794,FAILED,46-55,18-25,Tamil Nadu,PNB,ICICI,iOS,WiFi,0,9,Friday,0
TXN400000000014,08-08-2024 17:32:00,Recharge,Entertainment,6499,FAILED,36-45,26-35,Tamil Nadu,Axis,Yes Bank,iOS,3G,0,17,Thursday,0
TXN400000000015,07-07-2024 18:30:00,Recharge,Fuel,17097,FAILED,36-45,46-55,Gujarat,Axis,HDFC,Android,5G,1,18,Sunday,1
TXN400000000016,19-09-2024 10:04:00,P2P,Healthcare,7816,FAILED,46-55,46-55,Rajasthan,HDFC,HDFC,Android,3G,1,10,Thursday,0
TXN400000000017,24-11-2024 04:07:00,P2P,Food,9734,SUCCESS,36-45,26-35,Maharashtra,HDFC,PNB,iOS,3G,1,4,Sunday,1
TXN400000000018,30-04-2024 01:02:00,Bill Payment,Shopping,17989,FAILED,36-45,46-55,Tamil Nadu,Kotak,Kotak,Android,3G,0,1,Tuesday,0
TXN400000000019,28-05-2024 04:19:00,Bill Payment,Grocery,4524,FAILED,18-25,36-45,Tamil Nadu,Yes Bank,Yes Bank,Android,4G,1,4,Tuesday,0
TXN400000000020,01-03-2024 06:28:00,Recharge,Food,15692,SUCCESS,56+,26-35,Karnataka,PNB,SBI,Android,3G,0,6,Friday,0
TXN400000000021,20-03-2024 11:45:00,P2M,Healthcare,6188,FAILED,18-25,18-25,Rajasthan,SBI,HDFC,Android,5G,0,11,Wednesday,0
TXN400000000022,10-06-2024 11:07:00,P2M,Healthcare,15305,SUCCESS,18-25,56+,Rajasthan,SBI,Axis,iOS,5G,0,11,Monday,0
TXN400000000023,06-11-2024 11:24:00,P2P,Entertainment,13304,FAILED,18-25,36-45,Tamil Nadu,Yes Bank,ICICI,iOS,WiFi,1,11,Wednesday,0
TXN400000000024,17-04-2024 00:40:00,Bill Payment,Utilities,11904,FAILED,46-55,36-45,Tamil Nadu,Axis,HDFC,Android,5G,1,0,Wednesday,0
TXN400000000025,23-10-2024 15:09:00,P2P,Entertainment,7012,FAILED,26-35,26-35,Maharashtra,Kotak,Kotak,Android,5G,0,15,Wednesday,0
TXN400000000026,18-10-2024 23:27:00,P2M,Utilities,3443,FAILED,26-35,46-55,Gujarat,Axis,HDFC,iOS,WiFi,1,23,Friday,0
TXN400000000027,10-04-2024 04:29:00,Recharge,Grocery,17263,FAILED,18-25,18-25,Gujarat,Axis,SBI,Android,4G,1,4,Wednesday,0
TXN400000000028,13-02-2024 20:10:00,P2P,Healthcare,10849,SUCCESS,56+,56+,Tamil Nadu,Kotak,HDFC,Android,3G,0,20,Tuesday,0
TXN400000000029,01-08-2024 04:53:00,Recharge,Grocery,8306,SUCCESS,18-25,26-35,Delhi,Kotak,PNB,Android,4G,0,4,Thursday,0
TXN400000000030,25-10-2024 04:28:00,P2P,Utilities,7977,FAILED,36-45,36-45,Rajasthan,Kotak,HDFC,Android,4G,0,4,Friday,0
TXN400000000031,25-04-2024 15:51:00,Bill Payment,Fuel,14761,FAILED,26-35,46-55,Maharashtra,Kotak,HDFC,iOS,3G,1,15,Thursday,0
TXN400000000032,30-03-2024 19:32:00,P2P,Food,9885,FAILED,26-35,46-55,Gujarat,PNB,Kotak,Android,WiFi,1,19,Saturday,1
TXN400000000033,11-01-2024 08:24:00,P2M,Utilities,17850,FAILED,56+,56+,Gujarat,PNB,ICICI,Android,3G,0,8,Thursday,0
TXN400000000034,14-08-2024 09:10:00,P2M,Fuel,6322,FAILED,46-55,56+,Karnataka,HDFC,HDFC,Android,3G,0,9,Wednesday,0
TXN400000000035,01-09-2024 22:15:00,P2M,Utilities,15791,FAILED,36-45,46-55,Delhi,PNB,Kotak,Android,5G,1,22,Sunday,1
TXN400000000036,16-10-2024 21:05:00,Bill Payment,Utilities,11759,FAILED,46-55,26-35,Maharashtra,PNB,ICICI,iOS,5G,1,21,Wednesday,0
TXN400000000037,25-02-2024 13:27:00,Recharge,Healthcare,11364,FAILED,26-35,46-55,Tamil Nadu,SBI,HDFC,Android,3G,1,13,Sunday,1
TXN400000000038,12-10-2024 16:35:00,P2M,Fuel,5475,FAILED,26-35,46-55,Tamil Nadu,ICICI,Yes Bank,Android,4G,0,16,Saturday,1
TXN400000000039,29-11-2024 10:21:00,Recharge,Utilities,19519,SUCCESS,56+,36-45,Delhi,Kotak,HDFC,iOS,WiFi,0,10,Friday,0
TXN400000000040,22-07-2024 07:28:00,Recharge,Utilities,8710,SUCCESS,46-55,46-55,Karnataka,Axis,HDFC,Android,3G,0,7,Monday,0
TXN400000000041,09-11-2024 08:59:00,Recharge,Fuel,18819,SUCCESS,36-45,26-35,Delhi,Kotak,Axis,iOS,3G,0,8,Saturday,1
TXN400000000042,21-07-2024 15:06:00,P2P,Fuel,6992,SUCCESS,46-55,18-25,Maharashtra,HDFC,HDFC,Android,3G,0,15,Sunday,1
TXN400000000043,20-02-2024 15:30:00,P2P,Utilities,8233,FAILED,36-45,36-45,Rajasthan,Kotak,ICICI,Android,4G,0,15,Tuesday,0
TXN400000000044,04-08-2024 12:37:00,Recharge,Fuel,3484,FAILED,56+,46-55,Tamil Nadu,PNB,SBI,iOS,WiFi,1,12,Sunday,1
TXN400000000045,27-01-2024 12:58:00,P2M,Fuel,13059,FAILED,56+,56+,Karnataka,Axis,PNB,iOS,3G,1,12,Saturday,1
TXN400000000046,28-11-2024 01:40:00,Bill Payment,Grocery,7091,FAILED,46-55,46-55,Gujarat,ICICI,SBI,iOS,WiFi,0,1,Thursday,0
TXN400000000047,09-11-2024 18:59:00,Bill Payment,Healthcare,7549,SUCCESS,18-25,36-45,Rajasthan,SBI,Yes Bank,iOS,4G,0,18,Saturday,1
TXN400000000048,10-04-2024 19:27:00,P2M,Entertainment,11878,FAILED,36-45,36-45,Tamil Nadu,Kotak,HDFC,Android,5G,1,19,Wednesday,0
TXN400000000049,05-07-2024 11:38:00,Recharge,Food,12827,FAILED,26-35,18-25,Delhi,ICICI,SBI,Android,WiFi,1,11,Friday,0
TXN400000000050,18-10-2024 08:13:00,Recharge,Food,17259,FAILED,56+,46-55,Karnataka,PNB,PNB,iOS,4G,0,8,Friday,0
TXN400000000051,27-02-2024 08:41:00,P2M,Fuel,3197,SUCCESS,36-45,36-45,Delhi,Kotak,Kotak,Android,WiFi,1,8,Tuesday,0
TXN400000000052,20-01-2024 07:38:00,Recharge,Grocery,19252,FAILED,46-55,18-25,Delhi,HDFC,ICICI,Android,WiFi,1,7,Saturday,1
TXN400000000053,04-10-2024 11:41:00,Bill Payment,Food,6620,SUCCESS,18-25,56+,Karnataka,SBI,PNB,iOS,3G,1,11,Friday,0
TXN400000000054,10-03-2024 05:21:00,Recharge,Grocery,16790,SUCCESS,18-25,36-45,Tamil Nadu,HDFC,Kotak,iOS,WiFi,1,5,Sunday,1
TXN400000000055,12-12-2024 08:53:00,Bill Payment,Fuel,8829,FAILED,26-35,26-35,Rajasthan,Kotak,SBI,Android,3G,0,8,Thursday,0
TXN400000000056,03-05-2024 19:51:00,Bill Payment,Entertainment,17281,SUCCESS,18-25,46-55,Karnataka,Axis,Axis,Android,3G,0,19,Friday,0
TXN400000000057,04-01-2024 00:16:00,Bill Payment,Entertainment,9812,SUCCESS,36-45,18-25,Maharashtra,PNB,ICICI,iOS,3G,1,0,Thursday,0
TXN400000000058,26-05-2024 23:56:00,P2M,Utilities,2676,SUCCESS,56+,56+,Karnataka,ICICI,Yes Bank,iOS,4G,1,23,Sunday,1
TXN400000000059,22-07-2024 22:19:00,Recharge,Utilities,17743,FAILED,46-55,56+,Delhi,Yes Bank,Axis,iOS,5G,0,22,Monday,0
TXN400000000060,06-04-2024 05:01:00,P2M,Grocery,9429,FAILED,36-45,36-45,Karnataka,Yes Bank,ICICI,iOS,4G,1,5,Saturday,1
TXN400000000061,12-07-2024 07:06:00,Recharge,Food,4454,SUCCESS,18-25,56+,Tamil Nadu,Yes Bank,HDFC,iOS,WiFi,0,7,Friday,0
TXN400000000062,16-03-2024 18:51:00,P2P,Healthcare,13383,SUCCESS,18-25,56+,Karnataka,Axis,PNB,Android,5G,1,18,Saturday,1
TXN400000000063,08-04-2024 04:24:00,P2M,Grocery,5726,FAILED,36-45,36-45,Gujarat,Axis,PNB,Android,5G,1,4,Monday,0
TXN400000000064,02-10-2024 12:48:00,Bill Payment,Utilities,8922,SUCCESS,36-45,26-35,Maharashtra,ICICI,SBI,iOS,5G,1,12,Wednesday,0
TXN400000000065,18-11-2024 13:27:00,P2P,Entertainment,6462,SUCCESS,56+,46-55,Gujarat,PNB,Axis,iOS,WiFi,0,13,Monday,0
TXN400000000066,12-07-2024 16:14:00,Recharge,Food,1106,SUCCESS,18-25,26-35,Rajasthan,Yes Bank,Axis,Android,3G,1,16,Friday,0
TXN400000000067,31-10-2024 01:22:00,P2M,Healthcare,6417,FAILED,36-45,18-25,Karnataka,Kotak,PNB,iOS,4G,0,1,Thursday,0
TXN400000000068,30-07-2024 12:51:00,Recharge,Entertainment,15466,SUCCESS,36-45,46-55,Maharashtra,HDFC,Axis,iOS,WiFi,1,12,Tuesday,0
TXN400000000069,06-09-2024 23:43:00,Bill Payment,Shopping,10573,SUCCESS,56+,46-55,Delhi,Kotak,ICICI,iOS,4G,1,23,Friday,0
TXN400000000070,09-08-2024 12:25:00,Recharge,Healthcare,16665,SUCCESS,36-45,18-25,Maharashtra,HDFC,SBI,Android,5G,0,12,Friday,0
TXN400000000071,18-03-2024 22:38:00,P2P,Fuel,5189,SUCCESS,56+,46-55,Rajasthan,HDFC,PNB,Android,5G,0,22,Monday,0
TXN400000000072,16-01-2024 10:07:00,Recharge,Healthcare,5805,SUCCESS,46-55,56+,Rajasthan,HDFC,ICICI,iOS,5G,1,10,Tuesday,0
TXN400000000073,03-05-2024 11:26:00,Recharge,Fuel,848,FAILED,56+,56+,Gujarat,ICICI,Kotak,Android,4G,0,11,Friday,0
TXN400000000074,10-02-2024 15:52:00,Bill Payment,Shopping,19159,SUCCESS,46-55,26-35,Gujarat,Yes Bank,Kotak,Android,5G,0,15,Saturday,1
TXN400000000075,20-06-2024 22:37:00,P2M,Food,1685,SUCCESS,46-55,56+,Karnataka,Kotak,Kotak,iOS,4G,1,22,Thursday,0
TXN400000000076,27-08-2024 15:14:00,P2P,Utilities,6508,FAILED,36-45,46-55,Karnataka,SBI,SBI,iOS,4G,0,15,Tuesday,0
TXN400000000077,03-09-2024 17:22:00,P2P,Grocery,1592,FAILED,18-25,56+,Tamil Nadu,ICICI,ICICI,iOS,3G,0,17,Tuesday,0
TXN400000000078,12-11-2024 14:21:00,Bill Payment,Food,15702,FAILED,26-35,46-55,Tamil Nadu,SBI,Axis,Android,3G,1,14,Tuesday,0
TXN400000000079,20-02-2024 22:50:00,P2P,Fuel,11807,SUCCESS,18-25,56+,Karnataka,PNB,Yes Bank,iOS,4G,0,22,Tuesday,0
TXN400000000080,13-11-2024 16:19:00,P2M,Food,18120,FAILED,46-55,36-45,Tamil Nadu,PNB,Axis,Android,3G,0,16,Wednesday,0
TXN400000000081,11-03-2024 14:31:00,P2M,Utilities,8120,SUCCESS,36-45,36-45,Delhi,Kotak,SBI,iOS,4G,1,14,Monday,0
TXN400000000082,26-09-2024 07:05:00,Bill Payment,Fuel,19779,SUCCESS,18-25,36-45,Karnataka,ICICI,Yes Bank,iOS,4G,1,7,Thursday,0
